,id,food_id,nutrient_id,amount,min,max,median
490,2223001,322228,1299,0.01,0.009,0.013,0.01
491,2222960,322228,1264,0.093,0.078,0.115,0.089
492,2222965,322228,1167,0.113,0.08,0.14,0.105
493,2223048,322228,1321,0.0,0.0,0.0,0.0
494,2222996,322228,1225,0.069,0.06,0.09,0.07
495,2222989,322228,1210,0.045,0.04,0.06,0.04
496,2223094,322228,2020,0.001,,,
497,2223074,322228,1159,0.0,0.0,1.0,0.0
498,2223083,322228,1196,1.7,1.3,2.4,1.8
499,2223080,322228,1119,0.0,0.0,0.0,0.0
500,2223096,322228,2023,0.0,,,
501,2222959,322228,1263,0.026,0.0,0.037,0.027
502,2223030,322228,1122,0.0,0.0,0.0,0.0
503,2223036,322228,1089,0.0,0.0,0.0,0.0
504,2223053,322228,1405,0.0,0.0,0.0,0.0
505,2223052,322228,1313,0.0,0.0,0.0,0.0
506,2223087,322228,1329,0.031,,,
507,2223065,322228,1301,0.0,0.0,0.001,0.0
508,2223058,322228,2015,0.0,0.0,0.0,0.0
509,2222956,322228,1166,0.14,0.114,0.176,0.141
510,2223064,322228,2007,0.0,0.0,0.0,0.0
511,2223041,322228,1335,0.0,0.0,0.0,0.0
512,2223089,322228,1331,0.0,,,
513,2223072,322228,1228,0.0,0.0,0.0,0.0
514,2223085,322228,1199,0.8,0.0,1.1,1.0
515,2223082,322228,1197,10.9,9.8,12.7,10.7
516,2222985,322228,1219,0.21,0.17,0.28,0.205
517,2223066,322228,1312,0.0,0.0,0.0,0.0
518,2222953,322228,1003,3.38,3.06,4.02,3.38
519,2223018,322228,1315,0.187,0.148,0.217,0.18
520,2222984,322228,1214,0.308,0.27,0.38,0.3
521,2223020,322228,1323,0.002,0.0,0.002,0.002
522,2222995,322228,1224,0.809,0.67,1.07,0.78
523,2222954,322228,1007,0.8,0.52,1.55,0.72
